lat;long;nome_via;
4.546.523.284.434;916.583.732.848.583;VIALE DI PORTA VERCELLINA;
45.466.343.140.075;914.880.645.114.811;PIAZZA DE ANGELI ERNESTO;
454.752.503.242.759;91.577.716.722.165;VIA SENOFONTE;
454.736.701.869.338;914.975.953.242.165;VIA DOMENICHINO;
454.781.426.327.859;914.765.306.983.145;VIA SEBASTIANO DEL PIOMBO;
454.805.666.024.476;914.534.387.286.356;VIALE VIGLIANI PAOLO ONORATO;
454.840.734.012.421;9.146.522.604.651;VIALE LODOVICO SCARAMPO;
454.830.288.801.404;91.406.512.534.335;VIA CREMOSANO MARCO;
454.717.430.387.763;912.122.004.883.544;VIA NOVARA;
454.620.240.510.136;913.566.230.732.729;VIA ORSINI VINCENZO GIORDANO;
45.459.982.731.687;910.938.539.524.089;VIA SELLA NUOVA;
454.817.915.746.894;917.252.534.542.837;VIA LOMAZZO PAOLO;
454.809.774.938.914;917.727.850.793.804;VIA NICCOLINI GIOVANNI BATTISTA;
454.788.846.428.581;916.765.293.100.566;CORSO SEMPIONE;
454.806.031.388.523;91.603.826.648.043;VIA DOMODOSSOLA;
454.843.272.322.494;915.289.513.958.425;PIAZZALE STEFANO TURR;
454.955.658.802.597;913.984.027.396.313;VIALE CERTOSA;
454.923.527.524.773;915.650.544.292.264;VIA VALCAVA;
454.546.374.614.098;922.474.027.273.227;VIA ABETONE;
454.693.429.690.067;9.109.884.565.743;VIA FRATELLI ZOIA;
45.485.680.781.296;916.571.912.945.275;VIA CASTELVETRO LODOVICO;
454.973.623.434.152;918.163.298.590.308;VIALE JENNER EDOARDO;
455.142.694.114.345;920.473.678.437.832;VIALE TESTI FULVIO;
454.643.419.216.184;91.860.076.411.386;VIA ARMORARI;
454.834.198.470.717;918.060.142.966.597;VIA CERESIO;
454.858.167.879.584;923.791.621.014.161;PIAZZA MONTE TITANO;
454.619.803.591.315;92.277.482.784.689;VIA GRASSELLI ANNIBALE;
454.530.515.310.402;922.671.801.649.375;VIA MONTE VELINO;
454.610.802.581.055;921.762.594.353.806;VIALE UMBRIA;
454.699.755.996.821;911.278.688.032.782;VIA PIO II;
454.764.954.544.929;912.922.853.930.073;VIA DEGLI ALDOBRANDINI;
454.837.108.778.881;915.267.910.611.477;PIAZZALE TURR STEFANO;
455.193.175.032.462;91.965.037.120.184;VIA MAESTRI DEL LAVORO;
455.138.677.626.365;91.630.830.596.696;VIA MONETA ERNESTO TEODORO;
454.467.393.026.502;91.820.769.960.788;VIA BALILLA;
454.535.475.188.468;922.713.247.752.584;VIA CADIBONA;
454.621.031.938.861;91.934.609.473.714;VIA LARGA;
